"matrr_number","cohort_broad_title","species","cohort_number","sex","birth_date","necropsy_date","age_at_necropsy","date_of_etoh_onset","age_onset_etoh","etoh_4%_ind","etoh_4%_22hr","lifetime_etoh_4%_mls","lifetime etoh grams","sum_g/kg_ind","sum_g/kg_22hr","lifetime_sum_g/kg","6 mos start","6 mos end","12 mos end","22hr_6mos_avg_g/kg","22hr_12mos_avg_g/kg"
10016,"INIA","cyno",2,"M","12/25/99","4/13/09","9 yrs 3 mos 19 days","3/30/06","6 yrs 3 mos 5 days",27886.4,448771.6,476658,19066.3,154.8481542,2181.636882,2336.5,"08/10/06","02/11/07","09/23/07",2.445614985,2.550254913
10017,"INIA","cyno",2,"M","9/11/99","2/24/09","9 yrs 5 mos 13 days","3/30/06","6 yrs 6 mos 19 days",26328.1,518782.2,545110.3,21804.4,153.72284,2815.266163,2969,"08/10/06","02/11/07","09/23/07",3.373728373,3.330858296
10018,"INIA","cyno",2,"M","10/17/99","4/15/09","9 yrs 5 mos 29 days","3/30/06","6 yrs 5 mos 13 days",24746.5,411135.1,435881.6,17435.3,155.0859838,2287.450399,2442.5,"08/10/06","02/11/07","09/23/07",3.471450057,3.04088629
10019,"INIA","cyno",2,"M","9/9/99","4/15/09","9 yrs 7 mos 6 days","3/30/06","6 yrs 6 mos 21 days",26734.6,468102.4,494837,19793.5,153.8106603,2397.651047,2551.5,"08/10/06","02/11/07","09/23/07",2.452160296,2.700002596
10020,"INIA","cyno",2,"M","10/17/99","4/16/09","9 yrs 5 mos 30 days","3/30/06","6 yrs 5 mos 13 days",20858.6,854134.6,874993.2,34999.7,154.9363835,4511.139944,4666.1,"08/10/06","02/11/07","09/23/07",6.009934225,5.655090315
10021,"INIA","cyno",2,"M","9/1/99","4/16/09","9 yrs 7 mos 15 days","3/30/06","6 yrs 6 mos 29 days",26855.5,395530.6,422386.1,16895.4,155.0636326,2035.081571,2190.1,"08/10/06","02/11/07","09/23/07",2.864372897,2.50876529
10022,"INIA","cyno",2,"M","11/21/99","4/21/09","9 yrs 5 mos 0 days","3/30/06","6 yrs 4 mos 9 days",25195.6,463484.6,488680.2,19547.2,154.8095316,2356.223573,2511,"08/10/06","02/11/07","09/23/07",2.570622711,2.619982367
10023,"INIA","cyno",2,"M","9/9/99","4/21/09","9 yrs 7 mos 12 days","3/30/06","6 yrs 6 mos 21 days",26775.1,446113.2,472888.3,18915.5,154.4379633,2084.937583,2239.4,"08/10/06","02/11/07","09/23/07",2.808916535,2.601018826
10024,"INIA","cyno",2,"M","12/5/99","4/17/09","9 yrs 4 mos 12 days","3/30/06","6 yrs 3 mos 25 days",22689.4,380785.1,403474.5,16139,154.8397292,2036.245046,2191.1,"08/10/06","02/11/07","09/23/07",2.633302335,2.563244757
10025,"INIA","cyno",2,"M","6/11/99","4/17/09","9 yrs 10 mos 6 days","3/30/06","6 yrs 9 mos 19 days",29009.4,372386.2,401395.6,16055.8,155.1339683,1707.622042,1862.8,"08/10/06","02/11/07","09/23/07",1.617781515,1.915575435
10026,"INIA","cyno",2,"M","9/27/99","4/20/09","9 yrs 6 mos 24 days","3/30/06","6 yrs 6 mos 3 days",22298.8,354008.6,376307.4,15052.3,154.9357338,1993.603323,2148.5,"08/10/06","02/11/07","09/23/07",2.713061368,2.43572757
10027,"INIA","cyno",2,"M","9/15/99","4/20/09","9 yrs 7 mos 5 days","3/30/06","6 yrs 6 mos 15 days",22364.3,373507.2,395871.5,15834.9,154.2702502,2030.372846,2184.6,"08/10/06","02/11/07","09/23/07",2.584921996,2.466456667
